资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	21.97亿	25.82亿	34.48亿	23.23亿	16.07亿
     应收票据	12.68亿	10.08亿	6.375亿	6.137亿	4.826亿
     应收账款	4.468亿	3.712亿	3.316亿	3.204亿	3.041亿
     预付款项	5949万	5839万	3283万	2036万	3882万
     其他应收款	7018万	5130万	1432万	1119万	1097万
     存货	13.47亿	11.13亿	9.145亿	7.216亿	5.537亿
     其他流动资产	25.92亿	15.12亿	1743万	8.800万	90.11万
流动资产合计	79.80亿	66.95亿	53.97亿	40.11亿	29.98亿
非流动资产					
     可供出售金融资产	1.199亿	1.477亿	2773万	2773万	--
     长期股权投资	261.8万	381.5万	81.79万	--	--
     投资性房地产	12.16万	13.06万	13.95万	14.85万	5.750万
     固定资产	8.429亿	8.284亿	8.522亿	8.720亿	3.167亿
     在建工程	1.844亿	2109万	--	--	1.982亿
     无形资产	1.940亿	1.677亿	9706万	9610万	9110万
     商誉	8059万	--	--	--	--
     长期待摊费用	493.3万	1156万	6.686万	3.909万	40.80万
     递延所得税资产	3956万	2453万	1707万	880.9万	556.7万
     其他非流动资产	612.7万	2648万	2352万	1127万	1546万
非流动资产合计	14.75亿	12.31亿	10.19亿	10.16亿	6.275亿
资产总计	94.55亿	79.27亿	64.15亿	50.27亿	36.26亿
流动负债					
     应付票据	--	3.656亿	--	--	--
     应付账款	--	10.45亿	9.109亿	9.642亿	6.012亿
     预收款项	11.70亿	7.350亿	8.403亿	5.246亿	3.124亿
     应付职工薪酬	1.073亿	1.056亿	9087万	4287万	3501万
     应交税费	1.132亿	1.166亿	1.525亿	9911万	7801万
     其他应付款	2.345亿	2.293亿	2.362亿	2.212亿	1.083亿
流动负债合计	32.32亿	25.97亿	22.31亿	18.52亿	11.35亿
非流动负债					
     递延收益	8202万	7172万	5927万	838.5万	958.8万
     递延所得税负债	1034万	--	--	--	--
非流动负债合计	9236万	7172万	5927万	838.5万	958.8万
负债合计	33.25亿	26.69亿	22.90亿	18.60亿	11.44亿
所有者权益(或股东权益)					
     实收资本（或股本）	9.490亿	9.490亿	7.301亿	4.861亿	3.200亿
     资本公积	4.017亿	3.996亿	6.105亿	8.196亿	9.053亿
     库存股	345.7万	2415万	5213万	6140万	--
     盈余公积	4.745亿	4.745亿	3.650亿	2.430亿	1.641亿
     未分配利润	42.24亿	34.62亿	24.75亿	16.82亿	10.93亿
归属于母公司股东权益合计	60.45亿	52.61亿	41.29亿	31.70亿	24.82亿
     少数股东权益	8546万	-333.0万	-331.0万	-329.1万	-74.98万
股东权益合计	61.31亿	52.57亿	41.25亿	31.66亿	24.81亿
负债和股东权益合计	94.55亿	79.27亿	64.15亿	50.27亿	36.26亿
