资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	1131亿	996.1亿	957.5亿	888.2亿	545.5亿
     以公允价值计量且其变动计入当期损益的金融资产	10.12亿	6.020亿	--	--	--
     应收票据	359.1亿	322.6亿	299.6亿	148.8亿	504.8亿
     应收账款	77.00亿	58.14亿	28.24亿	28.79亿	26.61亿
     预付款项	21.62亿	37.18亿	18.15亿	8.479亿	15.91亿
     应收利息	--	18.89亿	10.46亿	11.10亿	12.42亿
     其他应收款	25.54亿	21.61亿	2.450亿	2.540亿	3.806亿
     买入返售金融资产	--	--	--	10.00亿	--
     存货	200.1亿	165.7亿	90.25亿	94.74亿	85.99亿
     其他流动资产	171.1亿	103.4亿	19.93亿	16.85亿	5.584亿
流动资产合计	1997亿	1716亿	1429亿	1209亿	1201亿
非流动资产					
     发放委托贷款及垫款	90.71亿	66.73亿	47.37亿	78.73亿	64.42亿
     可供出售金融资产	22.16亿	21.75亿	13.84亿	27.05亿	21.50亿
     长期股权投资	22.51亿	1.104亿	1.039亿	9546万	9221万
     投资性房地产	5.376亿	5.166亿	5.977亿	4.915亿	5.079亿
     固定资产	183.9亿	174.8亿	176.8亿	154.3亿	149.4亿
     在建工程	16.64亿	10.21亿	5.815亿	20.45亿	12.54亿
     固定资产清理	--	1474万	3695万	2201万	772.1万
     无形资产	52.05亿	36.04亿	33.55亿	26.56亿	24.80亿
     商誉	5180万	--	--	--	--
     长期待摊费用	423.8万	220.9万	105.1万	818.2万	2095万
     递延所得税资产	113.5亿	108.4亿	96.68亿	87.64亿	81.93亿
     其他非流动资产	7.875亿	10.10亿	13.12亿	6.570亿	--
非流动资产合计	515.2亿	434.3亿	394.6亿	407.5亿	360.9亿
资产总计	2512亿	2150亿	1824亿	1617亿	1562亿
流动负债					
     短期借款	220.7亿	186.5亿	107.0亿	62.77亿	35.79亿
     向中央银行借款	--	--	427.4万	800.0万	1746万
     吸收存款及同业存放	3.159亿	2.669亿	1.452亿	5.666亿	8.065亿
     应付票据	108.4亿	97.67亿	91.27亿	74.28亿	68.82亿
     应付账款	389.9亿	345.5亿	295.4亿	247.9亿	267.8亿
     预收款项	97.92亿	141.4亿	100.2亿	76.20亿	64.28亿
     卖出回购金融资产款	--	--	--	--	5.860亿
     应付职工薪酬	24.73亿	18.77亿	17.03亿	16.97亿	15.50亿
     应交税费	48.48亿	39.09亿	31.26亿	29.78亿	83.09亿
     应付利息	--	1.961亿	4178万	4839万	3618万
     应付股利	--	70.79万	8773万	70.79万	70.79万
     其他应付款	47.47亿	28.01亿	22.24亿	26.08亿	25.46亿
     一年内到期的非流动负债	--	--	--	24.04亿	20.61亿
     其他流动负债	633.6亿	609.1亿	597.3亿	550.1亿	485.9亿
流动负债合计	1577亿	1475亿	1269亿	1126亿	1084亿
非流动负债					
     长期借款	--	--	--	--	22.59亿
     长期应付职工薪酬	1.308亿	1.127亿	1.177亿	1.275亿	1.067亿
     递延收益	1.663亿	1.262亿	1.721亿	1.346亿	8844万
     递延所得税负债	5.362亿	4.035亿	2.800亿	2.441亿	2.568亿
非流动负债合计	8.333亿	6.424亿	5.698亿	5.062亿	27.11亿
负债合计	1585亿	1481亿	1274亿	1131亿	1111亿
所有者权益(或股东权益)					
     实收资本（或股本）	60.16亿	60.16亿	60.16亿	60.16亿	30.08亿
     资本公积	9338万	1.249亿	1.834亿	1.860亿	31.91亿
     盈余公积	35.00亿	35.00亿	35.00亿	35.00亿	29.58亿
     一般风险准备	3.294亿	3.273亿	2.674亿	2.078亿	1.364亿
     未分配利润	819.4亿	557.4亿	442.3亿	377.4亿	348.4亿
归属于母公司股东权益合计	913.3亿	656.1亿	539.7亿	475.2亿	441.5亿
     少数股东权益	13.88亿	12.40亿	9.800亿	10.45亿	9.788亿
股东权益合计	927.1亿	668.5亿	549.5亿	485.7亿	451.3亿
负债和股东权益合计	2512亿	2150亿	1824亿	1617亿	1562亿
