资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	6.501亿	15.93亿	1.853亿	1.263亿	1.643亿
     应收票据	2.287亿	2.539亿	456.6万	879.1万	2134万
     应收账款	15.77亿	8.380亿	7.300亿	6.635亿	6.925亿
     预付款项	422.9万	100.5万	392.5万	161.2万	133.4万
     其他应收款	1987万	2772万	1342万	1840万	3090万
     存货	13.27亿	10.47亿	7.924亿	5.939亿	6.415亿
     其他流动资产	3.697亿	1.214亿	9965万	7799万	6140万
流动资产合计	41.76亿	38.82亿	18.29亿	14.90亿	16.13亿
非流动资产					
     可供出售金融资产	1500万	1500万	1500万	1500万	1500万
     长期股权投资	494.5万	516.9万	539.2万	560.4万	573.0万
     投资性房地产	660.9万	687.6万	714.3万	741.1万	767.8万
     固定资产	34.66亿	28.54亿	27.86亿	27.45亿	17.96亿
     在建工程	3.293亿	2.530亿	1.086亿	1.155亿	4.259亿
     无形资产	2.847亿	2.875亿	2.930亿	1.951亿	1.241亿
     长期待摊费用	4149万	4355万	4129万	2310万	766.2万
     递延所得税资产	6502万	4752万	4399万	4663万	3338万
     其他非流动资产	1.358亿	4833万	1036万	1.263亿	2285万
非流动资产合计	43.49亿	35.61亿	33.11亿	32.79亿	24.39亿
资产总计	85.25亿	74.43亿	51.40亿	47.70亿	40.52亿
流动负债					
     短期借款	--	1.600亿	1.360亿	4.186亿	2.039亿
     以公允价值计量且其变动计入当期损益的金融负债	--	--	--	--	5290万
     应付票据	8.489亿	6.962亿	4.240亿	1.890亿	2.519亿
     应付账款	12.74亿	8.808亿	6.059亿	4.963亿	4.381亿
     预收款项	6593万	4047万	1830万	1058万	598.8万
     应付职工薪酬	2.009亿	1.594亿	1.314亿	1.069亿	9244万
     应交税费	9044万	4756万	2319万	3392万	2414万
     应付利息	--	1027万	941.0万	1036万	681.8万
     其他应付款	5.380亿	3.818亿	4.467亿	7.383亿	4.756亿
     一年内到期的非流动负债	4.431亿	4.198亿	1.243亿	8739万	1.970亿
流动负债合计	34.61亿	27.86亿	19.19亿	20.91亿	17.49亿
非流动负债					
     长期借款	10.41亿	10.96亿	12.85亿	9.778亿	4.647亿
     长期应付款	46.30万	7546万	7533万	7532万	1.002亿
     递延收益	2.991亿	3.180亿	2.827亿	2.694亿	1.758亿
非流动负债合计	13.41亿	14.89亿	16.43亿	13.22亿	7.407亿
负债合计	48.02亿	42.75亿	35.62亿	34.14亿	24.89亿
所有者权益(或股东权益)					
     实收资本（或股本）	2.800亿	2.800亿	2.100亿	2.100亿	2.100亿
     资本公积	21.23亿	21.23亿	9.254亿	9.243亿	9.563亿
     盈余公积	1.529亿	9666万	5677万	3151万	1314万
     未分配利润	11.66亿	6.681亿	3.860亿	1.895亿	1.197亿
归属于母公司股东权益合计	37.22亿	31.68亿	15.78亿	13.55亿	12.99亿
     少数股东权益	136.0万	29.05万	-43.68万	80.97万	2.634亿
股东权益合计	37.24亿	31.68亿	15.78亿	13.56亿	15.63亿
负债和股东权益合计	85.25亿	74.43亿	51.40亿	47.70亿	40.52亿
