资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	22.20亿	22.65亿	19.10亿	18.65亿	5.067亿
     应收票据	1.432亿	9291万	7473万	5819万	2544万
     应收账款	19.70亿	16.32亿	12.19亿	11.83亿	8.169亿
     预付款项	9324万	1.082亿	1.104亿	1.215亿	7691万
     应收利息	--	541.2万	444.2万	--	--
     其他应收款	2.086亿	1.039亿	7729万	5157万	3947万
     存货	7.857亿	7.023亿	5.742亿	5.186亿	2.497亿
     一年内到期的非流动资产	2.485亿	2.076亿	1.539亿	--	1.839万
     其他流动资产	3669万	4684万	1922万	1780万	2.205万
流动资产合计	57.06亿	51.59亿	41.43亿	38.15亿	17.15亿
非流动资产					
     发放委托贷款及垫款	--	297.6万	297.6万	--	--
     可供出售金融资产	19.65亿	9.712亿	4.435亿	3458万	50.00万
     长期应收款	6269万	8713万	1.487亿	2890万	768.0万
     长期股权投资	10.62亿	7.942亿	5.604亿	2.686亿	1.601亿
     投资性房地产	8747万	9991万	1.009亿	6689万	1720万
     固定资产	12.79亿	11.33亿	11.06亿	8.988亿	5.227亿
     在建工程	5.156亿	2.815亿	5876万	1.066亿	2.048亿
     无形资产	13.36亿	13.13亿	5.319亿	4.558亿	1.217亿
     开发支出	2.941亿	2.231亿	1.822亿	1.499亿	9253万
     商誉	21.62亿	21.63亿	20.69亿	17.99亿	7.199亿
     长期待摊费用	1.240亿	9520万	6269万	4208万	1470万
     递延所得税资产	9294万	5166万	4096万	2919万	2124万
     其他非流动资产	4.269亿	4.168亿	5018万	3474万	2.318亿
非流动资产合计	94.07亿	76.32亿	53.57亿	39.15亿	21.15亿
资产总计	151.1亿	127.9亿	95.00亿	77.30亿	38.30亿
流动负债					
     短期借款	18.83亿	14.64亿	6.497亿	6.004亿	2.350亿
     应付票据	9094万	9912万	6925万	5176万	1368万
     应付账款	6.499亿	4.647亿	3.187亿	2.756亿	1.046亿
     预收款项	1.443亿	1.191亿	1.043亿	1.033亿	5032万
     应付职工薪酬	8419万	7100万	4830万	3764万	1971万
     应交税费	1.433亿	1.166亿	1.010亿	7985万	3805万
     应付利息	--	1500万	457.7万	120.1万	32.90万
     应付股利	--	429.7万	363.8万	591.9万	--
     其他应付款	5.397亿	7.394亿	1.296亿	3.342亿	5553万
     一年内到期的非流动负债	9.177亿	1.430亿	--	--	--
     其他流动负债	6.160亿	--	6.064亿	5.127亿	--
流动负债合计	50.69亿	32.17亿	20.35亿	20.03亿	5.172亿
非流动负债					
     长期借款	26.22亿	11.92亿	7.290亿	3.100亿	--
     应付债券	5.966亿	11.92亿	5.947亿	--	--
     长期应付款	1237万	3288万	2960万	--	--
     递延收益	1.331亿	4236万	3362万	3195万	2013万
     递延所得税负债	9147万	8774万	6474万	4665万	--
非流动负债合计	34.56亿	25.47亿	14.52亿	3.886亿	2013万
负债合计	85.25亿	57.63亿	34.87亿	23.91亿	5.373亿
所有者权益(或股东权益)					
     实收资本（或股本）	17.82亿	17.82亿	17.82亿	8.718亿	8.120亿
     资本公积	9067万	11.44亿	11.44亿	19.51亿	7.528亿
     库存股	9600万	--	--	--	--
     盈余公积	3.938亿	3.324亿	2.918亿	2.563亿	2.214亿
     未分配利润	38.49亿	29.18亿	22.34亿	17.30亿	13.58亿
归属于母公司股东权益合计	63.62亿	64.30亿	55.34亿	48.07亿	31.43亿
     少数股东权益	2.264亿	5.976亿	4.789亿	5.317亿	1.500亿
股东权益合计	65.88亿	70.27亿	60.13亿	53.39亿	32.93亿
负债和股东权益合计	151.1亿	127.9亿	95.00亿	77.30亿	38.30亿
