资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	2.799亿	4.164亿	3.159亿	2.715亿	2.169亿
     以公允价值计量且其变动计入当期损益的金融资产	1.307亿	--	260.1万	117.2万	--
     应收票据	5195万	1.210亿	5326万	2314万	3202万
     应收账款	15.62亿	12.32亿	8.336亿	8.007亿	7.267亿
     预付款项	1177万	1122万	1338万	1068万	744.8万
     应收利息	--	149.0万	62.06万	1.311万	103.1万
     其他应收款	3.218亿	7147万	3991万	2.244亿	4.187亿
     存货	10.39亿	7.420亿	6.917亿	5.451亿	4.547亿
     其他流动资产	1.761亿	3.560亿	2.925亿	1.239亿	4.230亿
流动资产合计	35.73亿	29.50亿	22.43亿	20.01亿	22.81亿
非流动资产					
     可供出售金融资产	1774万	1389万	2235万	2643万	2632万
     长期股权投资	1.351亿	1.321亿	--	--	--
     投资性房地产	421.4万	459.6万	995.9万	1072万	1149万
     固定资产	24.25亿	25.66亿	25.71亿	27.40亿	25.25亿
     在建工程	2.562亿	1.400亿	2.764亿	3.740亿	3.497亿
     无形资产	1.125亿	1.178亿	1.205亿	2.035亿	2.052亿
     长期待摊费用	34.00万	86.87万	21.64万	54.08万	169.2万
     递延所得税资产	6601万	5146万	6467万	7975万	4706万
     其他非流动资产	745.3万	1557万	1492万	--	--
非流动资产合计	30.25亿	30.42亿	30.80亿	34.35亿	31.66亿
资产总计	65.98亿	59.92亿	53.24亿	54.36亿	54.47亿
流动负债					
     短期借款	1.667亿	5.554亿	2.287亿	3.637亿	3.039亿
     应付票据	8455万	3836万	2793万	2465万	1459万
     应付账款	12.19亿	10.15亿	8.872亿	8.530亿	7.708亿
     预收款项	6599万	1183万	1061万	443.1万	956.4万
     应付职工薪酬	1.602亿	1.404亿	1.199亿	1.081亿	9230万
     应交税费	1.091亿	3689万	3887万	4361万	4341万
     应付利息	--	98.93万	26.73万	34.08万	69.65万
     其他应付款	1.891亿	6657万	4764万	4445万	3204万
流动负债合计	19.95亿	18.64亿	13.61亿	14.42亿	12.67亿
非流动负债					
     长期借款	9895万	9839万	--	--	2.582亿
     递延收益	4.935亿	5.405亿	5.965亿	7.647亿	6.987亿
     递延所得税负债	141.8万	75.31万	94.32万	74.53万	58.59万
非流动负债合计	5.939亿	6.397亿	5.974亿	7.654亿	9.575亿
负债合计	25.89亿	25.04亿	19.59亿	22.08亿	22.25亿
所有者权益(或股东权益)					
     实收资本（或股本）	17.19亿	16.74亿	16.74亿	16.74亿	16.74亿
     资本公积	2.600亿	1.681亿	1.659亿	1.659亿	1.659亿
     库存股	1.030亿	--	--	--	--
     盈余公积	3.528亿	3.019亿	2.716亿	2.519亿	2.482亿
     未分配利润	17.79亿	13.43亿	12.53亿	11.42亿	11.41亿
归属于母公司股东权益合计	40.09亿	34.88亿	33.65亿	32.28亿	32.22亿
股东权益合计	40.09亿	34.88亿	33.65亿	32.28亿	32.22亿
负债和股东权益合计	65.98亿	59.92亿	53.24亿	54.36亿	54.47亿
