资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	113.3亿	120.8亿	96.94亿	122.5亿	40.28亿
     结算备付金	27.76亿	23.35亿	20.71亿	14.55亿	570.6万
     以公允价值计量且其变动计入当期损益的金融资产	55.63亿	26.69亿	11.72亿	19.68亿	--
     其中:交易性金融资产	55.63亿	--	--	--	--
     应收账款	2.579亿	3.293亿	2.767亿	3.284亿	1.040亿
     预付款项	6411万	5667万	6747万	5942万	2058万
     应收利息	--	1.850亿	5935万	5098万	1437万
     其他应收款	31.01亿	24.80亿	16.79亿	14.51亿	15.57亿
     买入返售金融资产	15.09亿	54.68亿	12.13亿	3120万	--
     存货	1.457亿	1.422亿	1.349亿	--	--
     其他流动资产	8.475亿	3.424亿	5.573亿	2.838亿	2.203亿
流动资产合计	343.7亿	363.4亿	216.5亿	197.4亿	59.50亿
非流动资产					
     发放委托贷款及垫款	1476万	288.7万	--	--	--
     可供出售金融资产	8901万	8999万	9660万	9792万	2820万
     长期股权投资	4.448亿	4.104亿	3.058亿	2.663亿	--
     固定资产	17.16亿	17.61亿	17.81亿	3.956亿	4848万
     在建工程	994.2万	4383万	2926万	1908万	--
     无形资产	7732万	6920万	6827万	1.867亿	1.305亿
     商誉	29.27亿	29.32亿	29.32亿	29.32亿	473.2万
     长期待摊费用	9016万	7864万	3857万	3955万	1136万
     递延所得税资产	6933万	1.163亿	5129万	5214万	909.1万
     其他非流动资产	--	--	3690万	--	--
非流动资产合计	54.39亿	55.05亿	53.40亿	39.89亿	2.324亿
资产总计	398.1亿	418.4亿	269.9亿	237.3亿	61.83亿
流动负债					
     短期借款	2.131亿	2.980亿	7358万	--	--
     应付账款	1.055亿	8197万	1.118亿	1.030亿	5100万
     预收款项	1.370亿	1.352亿	1.271亿	1.849亿	1.373亿
     卖出回购金融资产款	8599万	36.58亿	9.425亿	16.39亿	--
     应付职工薪酬	2.454亿	2.356亿	2.111亿	2.128亿	1101万
     应交税费	3498万	6218万	2800万	5426万	4678万
     应付利息	--	7859万	590.7万	556.9万	--
     其他应付款	16.51亿	9.658亿	7.812亿	7.375亿	85.91万
     代理买卖证券款	142.9亿	131.7亿	109.6亿	119.0亿	40.52亿
     应付短期债券	19.17亿	31.37亿	6.000亿	2.000亿	--
     一年内到期的非流动负债	6.064亿	--	--	--	--
流动负债合计	192.9亿	217.4亿	138.4亿	150.3亿	42.98亿
非流动负债					
     应付债券	48.15亿	54.08亿	3.000亿	5.000亿	--
     递延收益	171.4万	119.0万	451.0万	546.4万	458.8万
     递延所得税负债	1007万	1121万	1159万	1672万	--
非流动负债合计	48.27亿	54.20亿	3.161亿	5.222亿	458.8万
负债合计	241.2亿	271.6亿	141.5亿	155.6亿	43.03亿
所有者权益(或股东权益)					
     实收资本（或股本）	51.68亿	42.89亿	35.58亿	18.54亿	12.10亿
     其他权益工具	12.19亿	12.19亿	--	--	--
     其中:其他权益工具	--	12.19亿	--	--	--
     资本公积	55.04亿	62.44亿	68.27亿	44.04亿	2.927亿
     盈余公积	3.948亿	3.114亿	2.651亿	2.309亿	5806万
     未分配利润	34.13亿	26.23亿	21.75亿	16.81亿	3.194亿
归属于母公司股东权益合计	157.0亿	146.8亿	128.3亿	81.69亿	18.80亿
     少数股东权益	--	258.0万	614.5万	750.4万	--
股东权益合计	157.0亿	146.8亿	128.3亿	81.77亿	18.80亿
负债和股东权益合计	398.1亿	418.4亿	269.9亿	237.3亿	61.83亿
